Date,ExportValue
2007-01-01,14202680574
2007-02-01,14244579859
2007-03-01,15809636873
2007-04-01,12693874632
2007-05-01,12906448632
2007-06-01,14701860112
2007-07-01,15397706600
2007-08-01,16541851086
2007-09-01,15293889579
2007-10-01,16706843974
2007-11-01,17482159561
2007-12-01,18631064696
2008-01-01,19860614433
2008-02-01,17724778554
2008-03-01,18017971098
2008-04-01,15332152788
2008-05-01,15623958404
2008-06-01,16595202874
2008-07-01,22705190696
2008-08-01,22189018385
2008-09-01,23330226174
2008-10-01,20510760207
2008-11-01,11698412238
2008-12-01,9439546612
2009-01-01,9783974534
2009-02-01,11429515805
2009-03-01,10416633744
2009-04-01,7965077509
2009-05-01,7594038537
2009-06-01,9240043139
2009-07-01,10458941515
2009-08-01,10913754053
2009-09-01,11537678141
2009-10-01,13593840312
2009-11-01,16365857707
2009-12-01,20705679360
2010-01-01,21150731198
2010-02-01,19663947054
2010-03-01,19562190765
2010-04-01,13276394730
2010-05-01,15912149530
2010-06-01,19488511779
2010-07-01,18955513611
2010-08-01,20094082595
2010-09-01,20276218955
2010-10-01,20069315424
2010-11-01,21655971444
2010-12-01,25448549175
2011-01-01,30134613623
2011-02-01,33856539879
2011-03-01,39485504508
2011-04-01,25878751448
2011-05-01,27965913954
2011-06-01,27239313684
2011-07-01,30491625691
2011-08-01,31736186369
2011-09-01,44434825827
2011-10-01,32169191154
2011-11-01,27731679134
2011-12-01,27217414877
2012-01-01,25956806926
2012-02-01,28159344047
2012-03-01,27517008263
2012-04-01,21387627988
2012-05-01,22091317518
2012-06-01,20367197126
2012-07-01,22021565233
2012-08-01,19593979323
2012-09-01,20027839094
2012-10-01,20438651157
2012-11-01,20282178710
2012-12-01,22284470209
2013-01-01,24710678841
2013-02-01,23369691650
2013-03-01,23738722417
2013-04-01,18728665980
2013-05-01,16041470413
2013-06-01,15346093658
2013-07-01,17173667265
2013-08-01,17659522854
2013-09-01,19321461088
2013-10-01,22677767694
2013-11-01,23249519390
2013-12-01,27214583522
2014-01-01,23184647039
2014-02-01,22255079582
2014-03-01,20403163841
2014-04-01,15005038028
2014-05-01,13851022483
2014-06-01,13261724035
2014-07-01,13823055627
2014-08-01,13976276895
2014-09-01,14110270038
2014-10-01,14002925644
2014-11-01,13769538333
2014-12-01,16084248629
2015-01-01,13930252248
2015-02-01,13515997989
2015-03-01,14751037279
2015-04-01,11258576666
2015-05-01,11899449161
2015-06-01,14255923515
2015-07-01,17004754712
2015-08-01,18459960989
2015-09-01,14593455044
2015-10-01,14396905124
2015-11-01,13140201642
2015-12-01,13170355923
2016-01-01,11365043321
2016-02-01,12050636431
2016-03-01,12728079344
2016-04-01,13318621462
2016-05-01,11692952860
2016-06-01,11664650176
2016-07-01,11590992526
2016-08-01,12774745249
2016-09-01,12467657431
2016-10-01,13264373095
2016-11-01,15032267860
2016-12-01,17734227024
2017-01-01,18365284552
2017-02-01,20574123751
2017-03-01,24427753304
2017-04-01,18663351560
2017-05-01,16629855985
2017-06-01,14344611615
2017-07-01,13575507572
2017-08-01,15269752173
2017-09-01,14664831056
2017-10-01,15587501852
2017-11-01,16233860585
2017-12-01,16432830063
2018-01-01,13254674947
2018-02-01,13195636681
2018-03-01,10903366047
2018-04-01,14675123565
2018-05-01,12474437553
2018-06-01,11972235853
2018-07-01,12263364651
2018-08-01,12255989866
2018-09-01,10986809173
2018-10-01,12394607363
2018-11-01,24005175604
2018-12-01,10898101601
2019-01-01,11240048336
2019-02-01,11081756698
2019-03-01,11530555392
2019-04-01,10134256259
2019-05-01,11449512656
2019-06-01,13291381292
2019-07-01,12810287602
2019-08-01,10507127717
2019-09-01,8690467677
2019-10-01,8963579176
2019-11-01,9063879143
2019-12-01,9708625902
